0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,49,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,44,12,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,51,29,22,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,43,35,30,24,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,31,23,21,15,22,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,40,8,12,12,29,33,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,35,18,16,10,20,20,5,14,0,,,,,,,,,,,,,,,,,,,,,,,,,
9,26,40,38,31,29,18,17,34,22,0,,,,,,,,,,,,,,,,,,,,,,,,
10,21,36,35,28,31,22,13,29,18,7,0,,,,,,,,,,,,,,,,,,,,,,,
11,25,29,28,21,27,21,6,22,11,12,7,0,,,,,,,,,,,,,,,,,,,,,,
12,39,12,18,19,36,39,22,7,19,38,32,26,0,,,,,,,,,,,,,,,,,,,,,
13,34,14,17,14,30,32,15,6,12,30,25,18,8,0,,,,,,,,,,,,,,,,,,,,
14,27,21,24,22,36,35,16,13,16,29,22,17,12,8,0,,,,,,,,,,,,,,,,,,,
15,32,17,17,12,26,26,8,10,6,24,19,12,14,6,10,0,,,,,,,,,,,,,,,,,,
16,22,27,27,22,31,26,9,19,12,17,11,6,21,14,11,10,0,,,,,,,,,,,,,,,,,
17,15,34,36,33,44,39,22,26,25,27,20,19,24,20,13,20,14,0,,,,,,,,,,,,,,,,
18,60,21,27,33,49,56,42,25,38,59,53,47,22,29,33,35,43,45,0,,,,,,,,,,,,,,,
19,56,27,34,38,56,61,44,28,41,60,53,47,22,30,32,36,43,40,12,0,,,,,,,,,,,,,,
20,45,9,16,19,37,42,26,9,23,43,37,31,6,13,18,19,27,30,16,19,0,,,,,,,,,,,,,
21,35,22,28,28,45,46,28,17,26,41,34,29,10,15,13,20,24,20,25,20,15,0,,,,,,,,,,,,
22,22,31,35,32,46,44,25,23,26,33,26,23,20,18,11,21,18,8,39,33,26,13,0,,,,,,,,,,,
23,20,28,29,24,34,29,12,21,15,19,11,8,22,15,11,12,3,11,44,42,28,23,15,0,,,,,,,,,,
24,17,31,32,27,37,31,15,24,18,19,12,10,24,18,12,15,6,8,46,44,30,24,14,3,0,,,,,,,,,
25,21,29,29,23,31,25,9,21,13,16,9,5,23,16,13,12,2,14,45,45,29,26,19,3,6,0,,,,,,,,
26,15,33,35,30,40,35,18,25,21,22,15,14,24,19,12,18,9,5,46,43,31,23,12,6,4,9,0,,,,,,,
27,11,37,40,35,45,39,23,30,27,25,18,19,28,24,16,23,15,4,49,45,35,25,12,12,9,14,5,0,,,,,,
28,23,43,47,45,59,55,38,36,39,43,36,35,31,31,24,34,29,16,47,39,37,22,13,27,24,30,21,18,0,,,,,
29,25,33,37,35,50,48,29,26,30,38,30,28,21,21,14,24,22,12,38,31,26,13,4,20,19,23,16,15,10,0,,,,
30,22,27,31,27,40,38,19,20,21,28,21,18,17,14,6,15,12,7,38,35,24,14,6,10,10,13,8,11,18,10,0,,,
31,18,32,35,31,43,39,21,24,24,28,20,18,22,18,10,19,13,2,42,38,28,18,6,10,8,14,6,7,16,10,4,0,,
32,21,31,35,32,45,42,24,24,25,32,24,22,20,18,10,20,16,6,40,35,26,15,2,14,12,17,10,10,14,6,5,4,0,
33,13,39,42,38,50,44,28,31,31,31,24,24,29,26,18,26,19,6,48,43,35,23,10,16,13,19,10,6,12,12,12,8,8,0
